CUSTOMERNAME,PHONE,CONTACTLASTNAME,CONTACTFIRSTNAME,LOCATION_ID,CUSTOMER_ID
Land of Toys Inc.,2125557818,Yu,Kwai,L1,C1
Reims Collectables,26.47.1555,Henriot,Paul,L2,C2
Lyon Souveniers,+33 1 46 62 7555,Da Cunha,Daniel,L3,C3
Toys4GrownUps.com,6265557265,Young,Julie,L4,C4
Corporate Gift Ideas Co.,6505551386,Brown,Julie,L5,C5
Technics Stores Inc.,6505556809,Hirano,Juri,L6,C6
Daedalus Designs Imports,20.16.1555,Rance,Martine,L7,C7
Herkku Gifts,+47 2267 3215,Oeztan,Veysel,L8,C8
Mini Wheels Co.,6505555787,Murphy,Julie,L9,C9
Auto Canal Petit,(1) 47.55.6555,Perrier,Dominique,L10,C10
"Australian Collectors, Co.",03 9520 4555,Ferguson,Peter,L11,C11
Vitachrome Inc.,2125551500,Frick,Michael,L12,C12
Tekni Collectables Inc.,2015559350,Brown,William,L13,C13
Gift Depot Inc.,2035552570,King,Julie,L14,C14
La Rochelle Gifts,40.67.8555,Labrune,Janine,L15,C15
Marta's Replicas Co.,6175558555,Hernandez,Marta,L16,C16
"Toys of Finland, Co.",90-224 8555,Karttunen,Matti,L17,C17
Baane Mini Imports,07-98 9555,Bergulfsen,Jonas,L18,C18
Diecast Classics Inc.,2155551555,Yu,Kyung,L19,C19
Salzburg Collectables,6562-9555,Pipps,Georg,L20,C20
Souveniers And Things Co.,+61 2 9495 8555,Huxley,Adrian,L21,C21
FunGiftIdeas.com,5085552555,Benitez,Violeta,L22,C22
"UK Collectables, Ltd.",(171) 555-2282,Devon,Elizabeth,L23,C23
Euro Shopping Channel,(91) 555 94 44,Freyre,Diego,L24,C24
"Volvo Model Replicas, Co",0921-12 3555,Berglund,Christina,L25,C25
"Corrida Auto Replicas, Ltd",(91) 555 22 82,Sommer,Mart¡n,L26,C26
"Dragon Souveniers, Ltd.",+65 221 7555,Natividad,Eric,L27,C27
Classic Legends Inc.,2125558493,Hernandez,Maria,L28,C28
"Australian Gift Network, Co",61-7-3844-6555,Calaghan,Tony,L29,C29
"Classic Gift Ideas, Inc",2155554695,Cervantes,Francisca,L30,C30
"Saveley & Henriot, Co.",78.32.5555,Saveley,Mary,L31,C31
Canadian Gift Exchange Network,(604) 555-3392,Tannamuri,Yoshi,L32,C32
West Coast Collectables Co.,3105553722,Thompson,Steve,L33,C33
Cambridge Collectables Co.,6175555555,Tseng,Kyung,L34,C34
Super Scale Inc.,2035559545,Murphy,Leslie,L35,C35
"Tokyo Collectables, Ltd",+81 3 3584 0555,Shimamura,Akiko,L36,C36
Amica Models & Co.,011-4988555,Accorti,Paolo,L37,C37
Scandinavian Gift Ideas,0695-34 6555,Larsson,Maria,L38,C38
Auto Assoc. & Cie.,30.59.8555,Tonini,Daniel,L39,C39
Mini Gifts Distributors Ltd.,4155551450,Nelson,Valarie,L40,C40
Online Diecast Creations Co.,6035558647,Young,Valarie,L41,C41
Collectables For Less Inc.,6175558555,Nelson,Allen,L42,C42
"Anna's Decorations, Ltd",02 9936 8555,O'Hara,Anna,L43,C43
Quebec Home Shopping Network,(514) 555-8054,Fresnisre,Jean,L44,C44
Osaka Souveniers Co.,+81 06 6342 5555,Kentary,Mory,L45,C45
Motor Mint Distributors Inc.,2155559857,Hernandez,Rosa,L46,C46
Atelier graphique,40.32.2555,Schmitt,Carine,L47,C47
Mini Classics,9145554562,Frick,Steve,L48,C48
Danish Wholesale Imports,31 12 3555,Petersen,Jytte,L49,C49
"Stylish Desk Decors, Co.",(171) 555-0297,Brown,Ann,L50,C50
Mini Creations Ltd.,5085559555,Tam,Wing C,L51,C51
Alpha Cognac,61.77.6555,Roulet,Annette,L52,C52
"Double Decker Gift Stores, Ltd",(171) 555-7555,Hardy,Thomas,L53,C53
Enaco Distributors,(93) 203 4555,Saavedra,Eduardo,L54,C54
"Men 'R' US Retailers, Ltd.",2155554369,Chandler,Michael,L55,C55
Collectable Mini Designs Co.,7605558146,Thompson,Valarie,L56,C56
Petit Auto,(02) 5554 67,Dewey,Catherine,L57,C57
"Royal Canadian Collectables, Ltd.",(604) 555-4555,Lincoln,Elizabeth,L58,C58
Gifts4AllAges.com,6175559555,Yoshido,Juri,L59,C59
giftsbymail.co.uk,(198) 555-8888,Bennett,Helen,L60,C60
"Oulu Toy Supplies, Inc.",981-443655,Koskitalo,Pirkko,L61,C61
The Sharp Gifts Warehouse,4085553659,Frick,Sue,L62,C62
"La Corne D'abondance, Co.",(1) 42.34.2555,Bertrand,Marie,L63,C63
Mini Auto Werke,7675-3555,Mendel,Roland,L64,C64
Diecast Collectables,6175552555,Franco,Valarie,L65,C65
Handji Gifts& Co,+65 224 1555,Victorino,Wendy,L66,C66
Cruz & Sons Co.,+63 2 555 3587,Cruz,Arnold,L67,C67
Marseille Mini Autos,91.24.4555,Lebihan,Laurence,L68,C68
"Toms Spezialitten, Ltd",0221-5554327,Pfalzheim,Henriette,L69,C69
"Vida Sport, Ltd",0897-034555,Holz,Michael,L70,C70
L'ordine Souveniers,0522-556555,Moroni,Maurizio,L71,C71
Online Mini Collectables,6175557555,Barajas,Miguel,L72,C72
"Blauer See Auto, Co.",+49 69 66 90 2555,Keitel,Roland,L73,C73
Suominen Souveniers,+358 9 8045 555,Suominen,Kalle,L74,C74
Muscle Machine Inc,2125557413,Young,Jeff,L75,C75
"Clover Collections, Co.",+353 1862 1555,Cassidy,Dean,L76,C76
CAF Imports,+34 913 728 555,Fernandez,Jesus,L77,C77
"AV Stores, Co.",(171) 555-1555,Ashworth,Victoria,L78,C78
Heintze Collectables,86 21 3555,Ibsen,Palle,L79,C79
Microscale Inc.,2125551957,Kuo,Kee,L80,C80
Boards & Toys Co.,3105552373,Young,Leslie,L81,C81
"Iberia Gift Imports, Corp.",(95) 555 82 82,Roel,Jose Pedro,L82,C82
Signal Collectibles Ltd.,4155554312,Taylor,Sue,L83,C83
Mini Caravy,88.60.1555,Citeaux,Frederique,L84,C84
Signal Gift Stores,7025551838,King,Sue,L85,C85
"Norway Gifts By Mail, Co.",+47 2212 1555,Klaeboe,Jan,L86,C86
Rovelli Gifts,035-640555,Rovelli,Giovanni,L87,C87
"Australian Collectables, Ltd",61-9-3844-6555,Connery,Sean,L88,C88
Gift Ideas Corp.,2035554407,Lewis,Dan,L89,C89
"Bavarian Collectables Imports, Co.",+49 89 61 08 9555,Donnermeyer,Michael,L90,C90
Royale Belge,(071) 23 67 2555,Cartrain,Pascale,L91,C91
Auto-Moto Classics Inc.,6175558428,Taylor,Leslie,L92,C92
